k	d	c	o	f	g	s	OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Yarrowia	Yarrowia_lipolytica_Fungi_15	Fungi_15	0	0	0	0	9	0	2	1	0	1	21	3	0	10	0
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Debaryomyces	Debaryomyces_hansenii_Fungi_19	Fungi_19	0	0	1	1	6	1	33	60	76	81	67	59	4	11	17
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_22	Fungi_22	49	45	33	31	47	47	3	3	5	1	4	19	14	48	23
Fungi	Eurotiomycetes	Eurotiales	Eurotiales	Trichocomaceae	Penicillium	Penicillium_fuscoglaucum_M4U_Fungi_23	Fungi_23	1	1	3	0	2	2	58	9	19	3	14	26	12	3	18
Fungi	Incertae_sedis	Mucorales	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides_Fungi_32	Fungi_32	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Fungi	Eurotiomycetes	Eurotiales	Eurotiales	Trichocomaceae	Penicillium	Penicillium_fuscoglaucum_M4U_Fungi_24	Fungi_24	3	1	2	1	3	2	44	4	29	5	5	25	7	3	13
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	unidentified	unidentified	Saccharomycetales_sp_Fungi_28	Fungi_28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_27	Fungi_27	7	17	15	8	22	17	1	2	0	3	4	7	2	11	7
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	unidentified	unidentified	Saccharomycetales_sp_Fungi_30	Fungi_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Sordariomycetes	Microascales	Microascales	Microascaceae	unidentified	Microascaceae_sp_Fungi_48	Fungi_48	1	3	2	6	38	30	0	0	1	0	1	8	3	1	2
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_37	Fungi_37	1	1	1	1	56	37	0	0	0	0	1	2	1	2	0
Fungi	Eurotiomycetes	Eurotiales	Eurotiales	Trichocomaceae	Penicillium	Penicillium_fuscoglaucum_M4U_Fungi_38	Fungi_38	0	0	1	0	2	0	12	1	3	1	1	3	2	0	3
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Yarrowia	Yarrowia_lipolytica_Fungi_50	Fungi_50	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_43	Fungi_43	5	4	0	5	7	9	1	0	0	0	0	1	2	5	2
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Candida	Candida_spencermartinsiae_Fungi_44	Fungi_44	0	0	0	0	2	1	0	0	0	0	10	1	0	3	0
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Debaryomyces	Debaryomyces_hansenii_Fungi_54	Fungi_54	0	1	0	0	0	0	2	9	2	5	12	3	0	1	1
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Debaryomyces	Debaryomyces_hansenii_Fungi_45	Fungi_45	1	0	1	0	0	0	3	1	2	1	1	1	2	4	4
Fungi	Incertae_sedis	Incertae_sedis	Incertae_sedis	Incertae_sedis	Myriodontium	Myriodontium_keratinophilum_Fungi_52	Fungi_52	0	0	0	10	95	0	0	0	0	0	0	0	0	0	0
Fungi	Eurotiomycetes	Eurotiales	Eurotiales	Trichocomaceae	Penicillium	Penicillium_fuscoglaucum_M4U_Fungi_58	Fungi_58	1	0	0	0	1	2	3	0	2	0	2	3	1	2	1
Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Ascomycota_sp_Fungi_47	Fungi_47	0	1	0	0	0	0	0	2	2	3	1	6	0	4	6
Fungi	Eurotiomycetes	Eurotiales	Eurotiales	Trichocomaceae	Penicillium	Penicillium_fuscoglaucum_M4U_Fungi_59	Fungi_59	0	1	0	0	0	0	9	1	2	1	1	2	2	0	2
Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetales	Incertae_sedis	Debaryomyces	Debaryomyces_hansenii_Fungi_53	Fungi_53	0	0	0	0	0	0	0	4	2	2	4	2	0	1	1
